,venue,innings,batting_team,bowling_team,striker,bowler,total_runs
584,"MA Chidambaram Stadium, Chepauk",100,Deccan Chargers,Chennai Super Kings,26.654,10.529,47
585,Eden Gardens,50,Kolkata Knight Riders,Pune Warriors,22.266,10.621,68
586,Eden Gardens,100,Pune Warriors,Kolkata Knight Riders,43.177,1.854,45
587,"Punjab Cricket Association Stadium, Mohali",50,Rajasthan Royals,Punjab Kings,29.859,7.199,64
588,"Punjab Cricket Association Stadium, Mohali",100,Punjab Kings,Rajasthan Royals,40.454,5.008,33
589,Wankhede Stadium,50,Chennai Super Kings,Mumbai Indians,21.992,10.439,52
590,Wankhede Stadium,100,Mumbai Indians,Chennai Super Kings,27.144,9.214,46
591,M Chinnaswamy Stadium,50,Deccan Chargers,Royal Challengers Bangalore,19.983,6.141,46
592,M Chinnaswamy Stadium,100,Royal Challengers Bangalore,Deccan Chargers,21.482,4.204,46
593,Feroz Shah Kotla,50,Delhi Daredevils,Kolkata Knight Riders,44.589,7.309,50
594,Feroz Shah Kotla,100,Kolkata Knight Riders,Delhi Daredevils,22.266,12.402,60
595,Subrata Roy Sahara Stadium,50,Pune Warriors,Rajasthan Royals,31.436,5.008,35
596,Subrata Roy Sahara Stadium,100,Rajasthan Royals,Pune Warriors,29.859,11.561,49
597,"Rajiv Gandhi International Stadium, Uppal",50,Punjab Kings,Deccan Chargers,19.783,0.865,51
598,"Rajiv Gandhi International Stadium, Uppal",100,Deccan Chargers,Punjab Kings,35.585,8.985,40
599,Wankhede Stadium,50,Mumbai Indians,Royal Challengers Bangalore,36.28,10.046,25
600,Wankhede Stadium,100,Royal Challengers Bangalore,Mumbai Indians,21.482,7.313,35
601,Sawai Mansingh Stadium,50,Rajasthan Royals,Chennai Super Kings,35.216,4.755,28
602,Sawai Mansingh Stadium,100,Chennai Super Kings,Rajasthan Royals,32.014,5.002,36
603,Subrata Roy Sahara Stadium,50,Royal Challengers Bangalore,Pune Warriors,21.482,6.185,66
604,Subrata Roy Sahara Stadium,100,Pune Warriors,Royal Challengers Bangalore,57.366,10.136,50
605,Eden Gardens,50,Mumbai Indians,Kolkata Knight Riders,29.388,5.672,49
606,Eden Gardens,100,Kolkata Knight Riders,Mumbai Indians,37.192,7.726,32
607,"MA Chidambaram Stadium, Chepauk",50,Delhi Daredevils,Chennai Super Kings,56.858,4.755,27
608,"MA Chidambaram Stadium, Chepauk",100,Chennai Super Kings,Delhi Daredevils,20.318,9.596,45
609,Sawai Mansingh Stadium,50,Rajasthan Royals,Pune Warriors,29.859,10.833,45
610,Sawai Mansingh Stadium,100,Pune Warriors,Rajasthan Royals,62.769,5.231,33
611,"Punjab Cricket Association Stadium, Mohali",50,Deccan Chargers,Punjab Kings,21.469,7.977,47
612,"Punjab Cricket Association Stadium, Mohali",100,Punjab Kings,Deccan Chargers,38.262,4.548,44
613,M Chinnaswamy Stadium,50,Royal Challengers Bangalore,Mumbai Indians,40.186,10.339,40
614,M Chinnaswamy Stadium,100,Mumbai Indians,Royal Challengers Bangalore,47.444,10.046,32
615,Eden Gardens,50,Kolkata Knight Riders,Chennai Super Kings,22.266,5.991,50
616,Eden Gardens,100,Chennai Super Kings,Kolkata Knight Riders,20.318,6.474,51
617,Feroz Shah Kotla,50,Punjab Kings,Delhi Daredevils,40.454,8.376,47
618,Feroz Shah Kotla,100,Delhi Daredevils,Punjab Kings,61.115,6.457,37
619,Wankhede Stadium,50,Kolkata Knight Riders,Mumbai Indians,39.56,10.339,32
620,Wankhede Stadium,100,Mumbai Indians,Kolkata Knight Riders,19.82,7.625,26
621,Himachal Pradesh Cricket Association Stadium,50,Chennai Super Kings,Punjab Kings,40.859,6.412,25
622,Himachal Pradesh Cricket Association Stadium,100,Punjab Kings,Chennai Super Kings,20.988,9.214,43
623,Feroz Shah Kotla,50,Royal Challengers Bangalore,Delhi Daredevils,31.687,10.706,42
624,Feroz Shah Kotla,100,Delhi Daredevils,Royal Challengers Bangalore,36.556,10.142,51
625,"Rajiv Gandhi International Stadium, Uppal",50,Rajasthan Royals,Deccan Chargers,29.859,6.132,41
626,"Rajiv Gandhi International Stadium, Uppal",100,Deccan Chargers,Rajasthan Royals,19.378,5.721,58
627,Himachal Pradesh Cricket Association Stadium,50,Punjab Kings,Delhi Daredevils,50.696,8.176,20
628,Himachal Pradesh Cricket Association Stadium,100,Delhi Daredevils,Punjab Kings,18.681,7.199,44
629,Subrata Roy Sahara Stadium,50,Kolkata Knight Riders,Pune Warriors,31.503,11.08,27
630,Subrata Roy Sahara Stadium,100,Pune Warriors,Kolkata Knight Riders,33.458,7.625,40
631,"Rajiv Gandhi International Stadium, Uppal",50,Deccan Chargers,Royal Challengers Bangalore,43.53,9.585,23
632,"Rajiv Gandhi International Stadium, Uppal",100,Royal Challengers Bangalore,Deccan Chargers,40.186,5.357,40
633,Sawai Mansingh Stadium,50,Rajasthan Royals,Mumbai Indians,35.216,11.894,31
634,Sawai Mansingh Stadium,100,Mumbai Indians,Rajasthan Royals,21.822,5.819,44
635,Subrata Roy Sahara Stadium,50,Kolkata Knight Riders,Delhi Daredevils,22.266,12.758,48
636,Subrata Roy Sahara Stadium,100,Delhi Daredevils,Kolkata Knight Riders,44.592,8.073,49
637,M Chinnaswamy Stadium,50,Chennai Super Kings,Mumbai Indians,38.563,15.142,30
638,M Chinnaswamy Stadium,100,Mumbai Indians,Chennai Super Kings,31.39,5.991,54
639,"MA Chidambaram Stadium, Chepauk",50,Chennai Super Kings,Delhi Daredevils,20.318,7.643,52
640,"MA Chidambaram Stadium, Chepauk",100,Delhi Daredevils,Chennai Super Kings,44.589,4.755,46
641,"MA Chidambaram Stadium, Chepauk",50,Chennai Super Kings,Kolkata Knight Riders,20.318,5.672,54
642,"MA Chidambaram Stadium, Chepauk",100,Kolkata Knight Riders,Chennai Super Kings,29.135,9.214,56
643,Eden Gardens,50,Delhi Daredevils,Kolkata Knight Riders,37.023,7.446,45
644,Eden Gardens,100,Kolkata Knight Riders,Delhi Daredevils,29.135,12.19,46
645,M Chinnaswamy Stadium,50,Royal Challengers Bangalore,Mumbai Indians,41.806,8.183,31
646,M Chinnaswamy Stadium,100,Mumbai Indians,Royal Challengers Bangalore,14.399,6.717,38
647,"Rajiv Gandhi International Stadium, Uppal",50,Sunrisers Hyderabad,Pune Warriors,28.693,9.108,38
648,"Rajiv Gandhi International Stadium, Uppal",100,Pune Warriors,Sunrisers Hyderabad,21.249,8.536,27
649,Feroz Shah Kotla,50,Rajasthan Royals,Delhi Daredevils,25.988,13.731,45
650,Feroz Shah Kotla,100,Delhi Daredevils,Rajasthan Royals,29.289,3.52,39
651,"MA Chidambaram Stadium, Chepauk",50,Mumbai Indians,Chennai Super Kings,33.104,2.617,41
652,"MA Chidambaram Stadium, Chepauk",100,Chennai Super Kings,Mumbai Indians,44.807,8.829,36
653,Subrata Roy Sahara Stadium,50,Pune Warriors,Punjab Kings,32.867,7.88,24
654,Subrata Roy Sahara Stadium,100,Punjab Kings,Pune Warriors,32.122,9.401,56
655,"Rajiv Gandhi International Stadium, Uppal",50,Royal Challengers Bangalore,Sunrisers Hyderabad,42.865,8.735,40
656,"Rajiv Gandhi International Stadium, Uppal",100,Sunrisers Hyderabad,Royal Challengers Bangalore,30.749,3.994,37
657,Sawai Mansingh Stadium,50,Rajasthan Royals,Kolkata Knight Riders,29.859,5.624,35
658,Sawai Mansingh Stadium,100,Kolkata Knight Riders,Rajasthan Royals,37.192,4.4,40
659,Wankhede Stadium,50,Mumbai Indians,Delhi Daredevils,33.104,15.784,38
660,Wankhede Stadium,100,Delhi Daredevils,Mumbai Indians,37.023,9.713,46
661,"Punjab Cricket Association Stadium, Mohali",50,Punjab Kings,Chennai Super Kings,42.648,4.718,43
662,"Punjab Cricket Association Stadium, Mohali",100,Chennai Super Kings,Punjab Kings,20.318,7.88,38
663,M Chinnaswamy Stadium,50,Kolkata Knight Riders,Royal Challengers Bangalore,29.135,6.81,44
664,M Chinnaswamy Stadium,100,Royal Challengers Bangalore,Kolkata Knight Riders,32.516,5.047,43
665,Subrata Roy Sahara Stadium,50,Rajasthan Royals,Pune Warriors,25.988,9.701,44
666,Subrata Roy Sahara Stadium,100,Pune Warriors,Rajasthan Royals,31.098,4.865,64
667,Feroz Shah Kotla,50,Delhi Daredevils,Sunrisers Hyderabad,50.133,8.628,29
668,Feroz Shah Kotla,100,Sunrisers Hyderabad,Delhi Daredevils,28.693,12.612,38
669,Wankhede Stadium,50,Mumbai Indians,Pune Warriors,14.399,9.801,48
670,Wankhede Stadium,100,Pune Warriors,Mumbai Indians,53.021,10.503,40
671,"MA Chidambaram Stadium, Chepauk",50,Royal Challengers Bangalore,Chennai Super Kings,32.516,7.508,33
672,"MA Chidambaram Stadium, Chepauk",100,Chennai Super Kings,Royal Challengers Bangalore,38.563,8.456,31
673,Eden Gardens,50,Kolkata Knight Riders,Sunrisers Hyderabad,19.898,8.736,48
674,Eden Gardens,100,Sunrisers Hyderabad,Kolkata Knight Riders,15.602,4.66,39
675,Sawai Mansingh Stadium,50,Punjab Kings,Rajasthan Royals,52.46,4.32,34
676,Sawai Mansingh Stadium,100,Rajasthan Royals,Punjab Kings,29.859,7.199,48
677,"MA Chidambaram Stadium, Chepauk",50,Pune Warriors,Chennai Super Kings,21.841,6.817,48
678,"MA Chidambaram Stadium, Chepauk",100,Chennai Super Kings,Pune Warriors,33.38,9.205,38
679,"Punjab Cricket Association Stadium, Mohali",50,Punjab Kings,Kolkata Knight Riders,32.122,6.685,35
680,"Punjab Cricket Association Stadium, Mohali",100,Kolkata Knight Riders,Punjab Kings,36.899,6.818,45
681,M Chinnaswamy Stadium,50,Delhi Daredevils,Royal Challengers Bangalore,32.456,9.876,43
682,M Chinnaswamy Stadium,100,Royal Challengers Bangalore,Delhi Daredevils,45.065,11.201,48
683,Subrata Roy Sahara Stadium,50,Sunrisers Hyderabad,Pune Warriors,49.974,9.401,25
684,Subrata Roy Sahara Stadium,100,Pune Warriors,Sunrisers Hyderabad,40.842,8.536,41
685,Sawai Mansingh Stadium,50,Rajasthan Royals,Mumbai Indians,20.075,7.548,58
686,Sawai Mansingh Stadium,100,Mumbai Indians,Rajasthan Royals,33.104,3.039,26
687,Feroz Shah Kotla,50,Chennai Super Kings,Delhi Daredevils,32.014,12.402,39
688,Feroz Shah Kotla,100,Delhi Daredevils,Chennai Super Kings,54.765,9.257,32
689,"Rajiv Gandhi International Stadium, Uppal",50,Punjab Kings,Sunrisers Hyderabad,30.17,8.736,36
690,"Rajiv Gandhi International Stadium, Uppal",100,Sunrisers Hyderabad,Punjab Kings,26.982,6.289,33
691,Eden Gardens,50,Kolkata Knight Riders,Chennai Super Kings,24.053,9.257,47
692,Eden Gardens,100,Chennai Super Kings,Kolkata Knight Riders,23.433,4.66,27
693,M Chinnaswamy Stadium,50,Rajasthan Royals,Royal Challengers Bangalore,35.216,6.534,31
694,M Chinnaswamy Stadium,100,Royal Challengers Bangalore,Rajasthan Royals,21.482,6.081,48
695,Feroz Shah Kotla,50,Mumbai Indians,Delhi Daredevils,40.526,9.282,24
696,Feroz Shah Kotla,100,Delhi Daredevils,Mumbai Indians,23.585,9.059,60
697,"Punjab Cricket Association Stadium, Mohali",50,Pune Warriors,Punjab Kings,21.841,6.457,48
698,"Punjab Cricket Association Stadium, Mohali",100,Punjab Kings,Pune Warriors,40.456,9.312,55
699,"MA Chidambaram Stadium, Chepauk",50,Rajasthan Royals,Chennai Super Kings,20.075,11.151,55
700,"MA Chidambaram Stadium, Chepauk",100,Chennai Super Kings,Rajasthan Royals,32.014,3.623,58
701,M Chinnaswamy Stadium,50,Royal Challengers Bangalore,Pune Warriors,21.482,10.481,62
702,M Chinnaswamy Stadium,100,Pune Warriors,Royal Challengers Bangalore,50.593,7.41,43
703,Himachal Pradesh Cricket Association Stadium,50,Punjab Kings,Delhi Daredevils,21.779,12.475,53
704,Himachal Pradesh Cricket Association Stadium,100,Delhi Daredevils,Punjab Kings,52.898,10.329,21
705,Eden Gardens,50,Kolkata Knight Riders,Mumbai Indians,33.289,10.503,61
706,Eden Gardens,100,Mumbai Indians,Kolkata Knight Riders,30.958,6.237,42
707,"MA Chidambaram Stadium, Chepauk",50,Sunrisers Hyderabad,Chennai Super Kings,36.892,9.05,40
708,"MA Chidambaram Stadium, Chepauk",100,Chennai Super Kings,Sunrisers Hyderabad,20.318,9.491,58
709,Eden Gardens,50,Punjab Kings,Kolkata Knight Riders,20.988,4.66,45
710,Eden Gardens,100,Kolkata Knight Riders,Punjab Kings,42.196,5.484,45
711,Sawai Mansingh Stadium,50,Sunrisers Hyderabad,Rajasthan Royals,69.065,6.096,29
712,Sawai Mansingh Stadium,100,Rajasthan Royals,Sunrisers Hyderabad,29.859,8.536,30
713,Wankhede Stadium,50,Mumbai Indians,Royal Challengers Bangalore,30.958,9.876,52
714,Wankhede Stadium,100,Royal Challengers Bangalore,Mumbai Indians,31.687,11.047,35
715,"MA Chidambaram Stadium, Chepauk",50,Chennai Super Kings,Kolkata Knight Riders,22.099,9.564,67
716,"MA Chidambaram Stadium, Chepauk",100,Kolkata Knight Riders,Chennai Super Kings,31.174,7.508,63
717,Shaheed Veer Narayan Singh International Stadium,50,Delhi Daredevils,Pune Warriors,30.518,9.785,37
718,Shaheed Veer Narayan Singh International Stadium,100,Pune Warriors,Delhi Daredevils,21.841,15.784,43
719,Sawai Mansingh Stadium,50,Royal Challengers Bangalore,Rajasthan Royals,31.146,8.836,55
720,Sawai Mansingh Stadium,100,Rajasthan Royals,Royal Challengers Bangalore,30.175,8.488,45
721,Wankhede Stadium,50,Mumbai Indians,Punjab Kings,30.958,4.989,36
722,Wankhede Stadium,100,Punjab Kings,Mumbai Indians,41.443,11.047,55
723,Subrata Roy Sahara Stadium,50,Chennai Super Kings,Pune Warriors,40.344,6.579,29
724,Subrata Roy Sahara Stadium,100,Pune Warriors,Chennai Super Kings,58.866,9.941,46
725,"Rajiv Gandhi International Stadium, Uppal",50,Mumbai Indians,Sunrisers Hyderabad,40.526,9.316,41
726,"Rajiv Gandhi International Stadium, Uppal",100,Sunrisers Hyderabad,Mumbai Indians,29.327,14.295,36
727,Shaheed Veer Narayan Singh International Stadium,50,Kolkata Knight Riders,Delhi Daredevils,31.206,15.784,37
728,Shaheed Veer Narayan Singh International Stadium,100,Delhi Daredevils,Kolkata Knight Riders,42.265,7.446,34
729,"MA Chidambaram Stadium, Chepauk",50,Chennai Super Kings,Punjab Kings,33.796,5.873,36
730,"MA Chidambaram Stadium, Chepauk",100,Punjab Kings,Chennai Super Kings,32.508,7.156,36
731,Subrata Roy Sahara Stadium,50,Royal Challengers Bangalore,Pune Warriors,20.691,6.291,30
732,Subrata Roy Sahara Stadium,100,Pune Warriors,Royal Challengers Bangalore,30.115,8.486,39
733,Eden Gardens,50,Rajasthan Royals,Kolkata Knight Riders,36.088,2.544,34
734,Eden Gardens,100,Kolkata Knight Riders,Rajasthan Royals,29.135,5.382,48
735,"Rajiv Gandhi International Stadium, Uppal",50,Delhi Daredevils,Sunrisers Hyderabad,30.518,8.536,26
736,"Rajiv Gandhi International Stadium, Uppal",100,Sunrisers Hyderabad,Delhi Daredevils,28.612,12.68,41
737,M Chinnaswamy Stadium,50,Royal Challengers Bangalore,Punjab Kings,31.866,7.489,31
738,M Chinnaswamy Stadium,100,Punjab Kings,Royal Challengers Bangalore,30.113,8.782,46
739,Wankhede Stadium,50,Mumbai Indians,Chennai Super Kings,21.822,6.52,32
740,Wankhede Stadium,100,Chennai Super Kings,Mumbai Indians,54.471,5.988,32
741,Sawai Mansingh Stadium,50,Pune Warriors,Rajasthan Royals,21.841,6.576,61
742,Sawai Mansingh Stadium,100,Rajasthan Royals,Pune Warriors,19.738,6.337,53
743,M Chinnaswamy Stadium,50,Sunrisers Hyderabad,Royal Challengers Bangalore,28.693,9.287,40
744,M Chinnaswamy Stadium,100,Royal Challengers Bangalore,Sunrisers Hyderabad,32.516,8.736,47
745,Sawai Mansingh Stadium,50,Delhi Daredevils,Rajasthan Royals,44.729,6.561,42
746,Sawai Mansingh Stadium,100,Rajasthan Royals,Delhi Daredevils,19.738,10.1,49
747,Wankhede Stadium,50,Mumbai Indians,Kolkata Knight Riders,21.822,4.646,41
748,Wankhede Stadium,100,Kolkata Knight Riders,Mumbai Indians,29.135,7.641,38
749,"Rajiv Gandhi International Stadium, Uppal",50,Chennai Super Kings,Sunrisers Hyderabad,32.014,8.536,50
750,"Rajiv Gandhi International Stadium, Uppal",100,Sunrisers Hyderabad,Chennai Super Kings,38.239,9.05,49
751,"Punjab Cricket Association Stadium, Mohali",50,Punjab Kings,Rajasthan Royals,31.275,5.393,37
752,"Punjab Cricket Association Stadium, Mohali",100,Rajasthan Royals,Punjab Kings,29.859,8.236,38
753,Subrata Roy Sahara Stadium,50,Kolkata Knight Riders,Pune Warriors,29.135,6.537,50
754,Subrata Roy Sahara Stadium,100,Pune Warriors,Kolkata Knight Riders,36.782,7.774,34
755,Feroz Shah Kotla,50,Royal Challengers Bangalore,Delhi Daredevils,43.285,12.612,40
756,Feroz Shah Kotla,100,Delhi Daredevils,Royal Challengers Bangalore,42.265,7.338,49
757,Subrata Roy Sahara Stadium,50,Pune Warriors,Mumbai Indians,39.863,6.851,36
758,Subrata Roy Sahara Stadium,100,Mumbai Indians,Pune Warriors,40.526,10.079,37
759,"Punjab Cricket Association Stadium, Mohali",50,Sunrisers Hyderabad,Punjab Kings,33.475,11.769,37
760,"Punjab Cricket Association Stadium, Mohali",100,Punjab Kings,Sunrisers Hyderabad,31.275,8.536,41
761,JSCA International Stadium Complex,50,Royal Challengers Bangalore,Kolkata Knight Riders,31.866,4.66,22
762,JSCA International Stadium Complex,100,Kolkata Knight Riders,Royal Challengers Bangalore,42.196,6.659,31
763,Sawai Mansingh Stadium,50,Chennai Super Kings,Rajasthan Royals,20.318,5.48,37
764,Sawai Mansingh Stadium,100,Rajasthan Royals,Chennai Super Kings,45.873,4.59,24
765,Feroz Shah Kotla,50,Delhi Daredevils,Punjab Kings,44.198,6.429,40
766,Feroz Shah Kotla,100,Punjab Kings,Delhi Daredevils,44.246,13.154,56
767,Wankhede Stadium,50,Sunrisers Hyderabad,Mumbai Indians,28.29,14.295,52
768,Wankhede Stadium,100,Mumbai Indians,Sunrisers Hyderabad,30.958,8.536,39
769,JSCA International Stadium Complex,50,Pune Warriors,Kolkata Knight Riders,31.588,4.66,42
770,JSCA International Stadium Complex,100,Kolkata Knight Riders,Pune Warriors,51.78,8.2,33
771,"MA Chidambaram Stadium, Chepauk",50,Chennai Super Kings,Delhi Daredevils,20.318,13.954,47
772,"MA Chidambaram Stadium, Chepauk",100,Delhi Daredevils,Chennai Super Kings,38.725,4.59,49
773,Wankhede Stadium,50,Mumbai Indians,Rajasthan Royals,29.434,5.382,49
774,Wankhede Stadium,100,Rajasthan Royals,Mumbai Indians,45.873,7.137,29
775,"Punjab Cricket Association Stadium, Mohali",50,Royal Challengers Bangalore,Punjab Kings,21.661,7.704,58
776,"Punjab Cricket Association Stadium, Mohali",100,Punjab Kings,Royal Challengers Bangalore,40.12,8.488,41
777,"Rajiv Gandhi International Stadium, Uppal",50,Sunrisers Hyderabad,Rajasthan Royals,40.44,5.483,21
778,"Rajiv Gandhi International Stadium, Uppal",100,Rajasthan Royals,Sunrisers Hyderabad,19.738,8.624,33
779,Himachal Pradesh Cricket Association Stadium,50,Punjab Kings,Mumbai Indians,39.609,6.481,35
780,Himachal Pradesh Cricket Association Stadium,100,Mumbai Indians,Punjab Kings,38.786,10.329,51
781,Subrata Roy Sahara Stadium,50,Pune Warriors,Delhi Daredevils,31.588,12.612,40
782,Subrata Roy Sahara Stadium,100,Delhi Daredevils,Pune Warriors,43.053,10.14,47
783,M Chinnaswamy Stadium,50,Royal Challengers Bangalore,Chennai Super Kings,32.949,8.731,76
784,M Chinnaswamy Stadium,100,Chennai Super Kings,Royal Challengers Bangalore,53.651,15.539,56
785,"Rajiv Gandhi International Stadium, Uppal",50,Kolkata Knight Riders,Sunrisers Hyderabad,29.135,4.312,33
786,"Rajiv Gandhi International Stadium, Uppal",100,Sunrisers Hyderabad,Kolkata Knight Riders,21.469,5.574,45
787,Feroz Shah Kotla,50,Chennai Super Kings,Mumbai Indians,20.318,12.739,47
788,Feroz Shah Kotla,100,Mumbai Indians,Chennai Super Kings,29.569,7.156,56
789,Feroz Shah Kotla,50,Sunrisers Hyderabad,Rajasthan Royals,33.475,5.48,27
790,Feroz Shah Kotla,100,Rajasthan Royals,Sunrisers Hyderabad,29.859,8.536,44
791,Eden Gardens,50,Rajasthan Royals,Mumbai Indians,19.738,3.638,42
792,Eden Gardens,100,Mumbai Indians,Rajasthan Royals,20.433,5.48,45
793,Eden Gardens,50,Mumbai Indians,Chennai Super Kings,48.057,7.156,34
794,Eden Gardens,100,Chennai Super Kings,Mumbai Indians,51.355,7.548,35
795,Sheikh Zayed Stadium,50,Kolkata Knight Riders,Mumbai Indians,29.974,10.651,31
796,Sheikh Zayed Stadium,100,Mumbai Indians,Kolkata Knight Riders,28.118,11.359,32
797,Sharjah Cricket Stadium,50,Delhi Daredevils,Royal Challengers Bangalore,46.614,5.783,30
798,Sharjah Cricket Stadium,100,Royal Challengers Bangalore,Delhi Daredevils,29.749,4.31,50
799,Sheikh Zayed Stadium,50,Chennai Super Kings,Punjab Kings,22.544,6.737,70
800,Sheikh Zayed Stadium,100,Punjab Kings,Chennai Super Kings,53.028,12.64,64
801,Sheikh Zayed Stadium,50,Sunrisers Hyderabad,Rajasthan Royals,33.138,7.201,41
802,Sheikh Zayed Stadium,100,Rajasthan Royals,Sunrisers Hyderabad,37.992,13.057,30
803,Dubai International Cricket Stadium,50,Mumbai Indians,Royal Challengers Bangalore,28.118,5.783,49
804,Dubai International Cricket Stadium,100,Royal Challengers Bangalore,Mumbai Indians,48.576,12.821,30
805,Dubai International Cricket Stadium,50,Kolkata Knight Riders,Delhi Daredevils,41.477,5.405,31
806,Dubai International Cricket Stadium,100,Delhi Daredevils,Kolkata Knight Riders,38.796,8.812,49
807,Sharjah Cricket Stadium,50,Rajasthan Royals,Punjab Kings,27.871,6.737,54
808,Sharjah Cricket Stadium,100,Punjab Kings,Rajasthan Royals,45.644,7.591,39
809,Sheikh Zayed Stadium,50,Chennai Super Kings,Delhi Daredevils,34.241,5.536,34
810,Sheikh Zayed Stadium,100,Delhi Daredevils,Chennai Super Kings,46.614,6.344,24
811,Sharjah Cricket Stadium,50,Punjab Kings,Sunrisers Hyderabad,22.445,12.683,43
812,Sharjah Cricket Stadium,100,Sunrisers Hyderabad,Punjab Kings,52.52,9.812,45
813,Dubai International Cricket Stadium,50,Chennai Super Kings,Rajasthan Royals,22.544,7.564,51
814,Dubai International Cricket Stadium,100,Rajasthan Royals,Chennai Super Kings,37.992,7.069,38
815,Sharjah Cricket Stadium,50,Kolkata Knight Riders,Royal Challengers Bangalore,42.852,5.783,42
816,Sharjah Cricket Stadium,100,Royal Challengers Bangalore,Kolkata Knight Riders,17.793,10.724,49
817,Dubai International Cricket Stadium,50,Sunrisers Hyderabad,Delhi Daredevils,21.391,6.173,55
818,Dubai International Cricket Stadium,100,Delhi Daredevils,Sunrisers Hyderabad,22.118,9.721,44
819,Dubai International Cricket Stadium,50,Mumbai Indians,Chennai Super Kings,35.306,10.803,31
820,Dubai International Cricket Stadium,100,Chennai Super Kings,Mumbai Indians,22.544,10.651,51
821,Sheikh Zayed Stadium,50,Royal Challengers Bangalore,Rajasthan Royals,69.396,6.818,22
822,Sheikh Zayed Stadium,100,Rajasthan Royals,Royal Challengers Bangalore,39.049,1.82,36
823,Sheikh Zayed Stadium,50,Punjab Kings,Kolkata Knight Riders,45.644,12.749,51
824,Sheikh Zayed Stadium,100,Kolkata Knight Riders,Punjab Kings,54.354,9.52,24
825,Sharjah Cricket Stadium,50,Mumbai Indians,Delhi Daredevils,34.191,4.31,37
826,Sharjah Cricket Stadium,100,Delhi Daredevils,Mumbai Indians,22.118,13.611,31
827,Sharjah Cricket Stadium,50,Sunrisers Hyderabad,Chennai Super Kings,45.254,10.803,37
828,Sharjah Cricket Stadium,100,Chennai Super Kings,Sunrisers Hyderabad,22.544,9.521,47
829,Dubai International Cricket Stadium,50,Royal Challengers Bangalore,Punjab Kings,59.016,8.287,44
830,Dubai International Cricket Stadium,100,Punjab Kings,Royal Challengers Bangalore,34.51,9.289,33
831,Sheikh Zayed Stadium,50,Rajasthan Royals,Kolkata Knight Riders,31.569,9.483,45
832,Sheikh Zayed Stadium,100,Kolkata Knight Riders,Rajasthan Royals,29.135,8.517,33
833,Dubai International Cricket Stadium,50,Sunrisers Hyderabad,Mumbai Indians,45.254,10.363,44
834,Dubai International Cricket Stadium,100,Mumbai Indians,Sunrisers Hyderabad,45.433,9.713,32
835,JSCA International Stadium Complex,50,Chennai Super Kings,Kolkata Knight Riders,34.241,6.292,43
836,JSCA International Stadium Complex,100,Kolkata Knight Riders,Chennai Super Kings,62.807,11.488,39
837,Wankhede Stadium,50,Punjab Kings,Mumbai Indians,45.644,11.984,36
838,Wankhede Stadium,100,Mumbai Indians,Punjab Kings,40.041,9.52,49
839,Feroz Shah Kotla,50,Delhi Daredevils,Rajasthan Royals,34.011,11.912,46
840,Feroz Shah Kotla,100,Rajasthan Royals,Delhi Daredevils,31.569,6.173,38
841,M Chinnaswamy Stadium,50,Sunrisers Hyderabad,Royal Challengers Bangalore,45.254,6.908,47
842,M Chinnaswamy Stadium,100,Royal Challengers Bangalore,Sunrisers Hyderabad,40.869,13.057,36
843,Narendra Modi Stadium,50,Rajasthan Royals,Kolkata Knight Riders,21.133,12.348,50
844,Narendra Modi Stadium,100,Kolkata Knight Riders,Rajasthan Royals,22.493,6.816,50
845,Feroz Shah Kotla,50,Delhi Daredevils,Chennai Super Kings,43.147,6.344,46
846,Feroz Shah Kotla,100,Chennai Super Kings,Delhi Daredevils,22.544,6.173,49
847,Wankhede Stadium,50,Mumbai Indians,Royal Challengers Bangalore,30.473,6.908,50
848,Wankhede Stadium,100,Royal Challengers Bangalore,Mumbai Indians,32.814,9.466,64
849,Feroz Shah Kotla,50,Delhi Daredevils,Kolkata Knight Riders,43.147,11.131,29
850,Feroz Shah Kotla,100,Kolkata Knight Riders,Delhi Daredevils,22.493,4.226,52
851,Barabati Stadium,50,Punjab Kings,Chennai Super Kings,44.138,6.344,38
852,Barabati Stadium,100,Chennai Super Kings,Punjab Kings,34.241,8.771,46
853,Narendra Modi Stadium,50,Sunrisers Hyderabad,Rajasthan Royals,33.507,10.644,50
854,Narendra Modi Stadium,100,Rajasthan Royals,Sunrisers Hyderabad,47.047,9.521,37
855,M Chinnaswamy Stadium,50,Punjab Kings,Royal Challengers Bangalore,33.606,6.824,64
856,M Chinnaswamy Stadium,100,Royal Challengers Bangalore,Punjab Kings,40.552,9.52,34
857,Feroz Shah Kotla,50,Delhi Daredevils,Sunrisers Hyderabad,33.848,10.386,52
858,Feroz Shah Kotla,100,Sunrisers Hyderabad,Delhi Daredevils,42.398,4.082,44
859,Wankhede Stadium,50,Mumbai Indians,Chennai Super Kings,28.337,2.056,42
860,Wankhede Stadium,100,Chennai Super Kings,Mumbai Indians,34.241,10.341,38
861,Barabati Stadium,50,Punjab Kings,Kolkata Knight Riders,45.67,10.202,49
862,Barabati Stadium,100,Kolkata Knight Riders,Punjab Kings,22.493,8.985,55
863,M Chinnaswamy Stadium,50,Royal Challengers Bangalore,Rajasthan Royals,32.813,6.453,31
864,M Chinnaswamy Stadium,100,Rajasthan Royals,Royal Challengers Bangalore,21.133,9.289,45
865,"Rajiv Gandhi International Stadium, Uppal",50,Sunrisers Hyderabad,Mumbai Indians,33.507,10.359,43
